name,address,telephone,parlimen,dun,latitude,longitude
PetronasBatu3FederalHighwayDT,"LotPT5,HD(D)239246,Batu3FederalHighway,PekanCountryHeight(FederalHighwayKlangBound),DaerahPetaling,46150SubangJaya,Selangor",016-2238193,P.108 Shah Alam,N.41 Batu Tiga,3.080722,101.572347
McDonald'sKualaPilahDT,"LotPT2781,JalanMelang,TamanMelang,72000KualaPilah,NegeriSembilan",06-4831069,P.129 Kuala Pilah,N.18 Pilah,2.73433,102.235089
McDonald'sAmanjayaDT,"PartofLot894-Lot900,Lot955-Lot961,Seksyen64,BandarAmanJaya,Seksyen64,BandarAmanJaya,08000,SungaiPetani,KedahDarulAman",04-4410974,P.014 Merbok,N.25 Bukit Selambau,5.6730823,100.5102205
McDonald'sPearlPointDT,"LotNoG-08,GroundFloor,PearlPointShoppingComple,5thMile,OldKlangRoad,58000KualaLumpur",03-79710196,P.122 Seputeh,,3.084915,101.673568
McDonald'sStulangDT,"LotPTB24076,JalanIbrahimSultan,StulangLaut,BandarJohorBahru,80300JohorBahru,Johor",07-2073794,P.160 Johor Bahru,N.45 Stulang,1.467432,103.778644
McDonald'sEducityJBDT,"LotPTD189218,JalanKampungLalang,Educity,IskandarPuteri,79100JohorBahru,Johor",07-5103667,P.162 Iskandar Puteri,N.49 Kota Iskandar,1.428935,103.616117
McDonald'sJalanP.Ramlee,"LotG-W-1,GroundFloor,WestWing,RohasPureCircle,No9,JalanPRamlee,50450KualaLumpur",03-21815851,P.120 Bukit Bintang,,3.154587,101.708461
McDonald'sBaganAjamDT,"PlotNo.2,PusatPerniagaanOren,DiatasLot10067(SebahagianLotLama:35),JalanBaganAjamSeksyen1,13000BandarButterworth,SeberangPeraiUtaraPulauPinang.",04-3137858,P.043 Bagan,N.07 Sungai Puyu,5.440361,100.381611
McDonald'sAMJBertamDT,"GM229,Lot18859,MukimBertam,75260DaerahMelakaTengah,Melaka",06-3347865,P.138 Kota Melaka,N.19 Kesidang,2.253646,102.222233
McDonald'sSempornaDT,"CountryLease125340490,Mile1,JalanBubul,91308Semporna,Sabah",08-9788603,P.189 Semporna,N.65 Senallang,4.475638,118.607646
McDonald'sKeningauDT,"CountryLease135367387,JalanJabatanPerhutanan,OffLebuhrayaKeningau-Tambunan,89008Keningau,Sabah",08-7332181,P.180 Keningau,N.41 Liawan,5.33996,116.157801
McDonald'sPSSBukitKatilDT,"Lot4985,JalanTunHamzah,MukimBukitKatil,75450BukitKatil,Melaka",06-3182439,P.137 Hang Tuah Jaya,N.17 Bukit Katil,2.235689,102.301093
McDonald'sLikasBayKK,"LotC,AnjungSelera,TanjungLipat,LikasJalanTunFuadStephens,88400KotaKinabaluSabah",015-96322370,P.171 Sepanggar,N.17 Darau,6.009846,116.110757
McDonald'sBHPJalanKepong,"LotPT1,Batu61/2,JalanKepong,52000KualaLumpur",03-62500090,P.114 Kepong,,3.208163,101.653579
McDonald'sPetronasBandarKinraraDT,"PartofLot4054,Phase5A,JalanKinrara6,BandarKinrara,47180Puchong,Selangor",03-80740617,P.104 Subang,N.30 Kinrara,3.036724,101.654738
McDonald'sPetronasTamanDagangDrive-Thru,"PetronasTamanDagang,PT12671,JalanNirwana,TamanNirwana,68000,Ampang,Selangor.",03-42705247,P.100 Pandan,N.21 Pandan Indah,3.145192,101.755045
McDonald'sDesaTebrauDT,"LotPTD83404,TamanDesaTebrau,81100MukimTebrau,JohorBahru",015-96368490,P.158 Tebrau,N.41 Puteri Wangsa,1.55525,103.798566
McDonald'sShellJalanSentulDT,"PT8938,JalanSentul/BatuCaves,MukimSetapak,Sentul,51100KualaLumpur",016-2127692,P.109 Kapar,N.42 Meru,3.12223,101.41208
McDonald'sSubangBestariDT,"PT42395,JalanNovaJU5/J,SubangBestari,SeksyenU5,40150ShahAlam,Selangor.",03-78311205,P.107 Sungai Buloh,N.39 Kota Damansara,3.176072,101.545641
McDonald'sBahauDT,"PT1127,JalanKiara1/2,PusatPerniagaanKiara,72100Bahau,NegeriSembilan",06-4539877,P.127 Jempol,N.07 Jeram Padang,2.825381,102.431691
McDonald'sTampinDT,"Lot613,JalanSeremban-Tampin,73000Tampin,NegeriSembilan",016-2372097,P.133 Tampin,N.36 Repah,2.473091,102.226762
McDonald'sKualaKangsarDT,"Lot2492,JalanTaiping,MukimSayong,33000DaerahKualaKangsar,PerakDarulRidzuan",05-7762482,P.067 Kuala Kangsar,N.34 Bukit Chandan,4.772459,100.932845
McDonald'sEcoMajesticDT,"No.1,JalanEcoMajestic9/1,EcoMajestic,43500Semenyih,Selangor",03-87239527,P.101 Hulu Langat,N.24 Semenyih,2.901795,101.836588
McDonald'sWismaLimFooYong,"WismaLimFooYong,LotNo.62,Seksyen57,JalanRajaChulan,50250KualaLumpur.",03-21102479,P.110 Klang,N.45 Bandar Baru Klang,3.09032,101.42334
McDonald'sPKNSPJDT,"Lot201,No.17,JalanYongShookLin,MenaraPKNSPetalingJaya,Seksyen7,46050SelangorDarulEhsan",03-79314943,P.109 Kapar,N.43 Sementa,3.05596,101.3834
McDonald'sMerlimauDT,"PT6370,JalanBMU1,BandarBaruMerlimauUtara,77300Merlimau,Melaka",06-2639126,P.139 Jasin,N.27 Merlimau,2.169054,102.431728
McDonald'sSentulUOADT,"LOTPT10098,JalanSentulPasar,MukimSetapakDalam,BandarayaKualaLumpur51000KualaLumpur",03-27029214,P.115 Batu,,3.202057,101.689976
McDonald'sPSSUSJ1DT,"LotHS(D)216848,PT36061,PekanPenaga,TamanSubangMewah,SubangJaya,Selangor",03-80812681,P.104 Subang,N.31 Subang Jaya,3.04779,101.601864
McDonald'sSeriAustinDT,"Lot132943,PersiaranJayaPutra,TamanSeriAustin,81100JohorBahru,Johor.",07-3643411,P.158 Tebrau,N.41 Puteri Wangsa,1.579057,103.749927
McDonald'sSimpangRenggamDT,"Lot17143,JalanBesar,MukimRenggam,SimpangRenggam,86200Kluang,Johor",011-10895318,P.151 Simpang Renggam,N.27 Layang-Layang,1.822241,103.315606
McDonald'sPSSJalanREKO,"Lot53934,RekoSentral,MukimKajang,43000DaerahHuluLangat,Selangor",03-87354278,P.102 Bangi,N.25 Kajang,2.969077,101.789231
McDonald'sPSSTamanPerlingDT,"Lot50844,JalanLayang16,TamanPerling,81200JohorBahru,Johor",07-2171431,P.161 Pulai,N.46 Perling,1.4738,103.66878
McDonald'sKotaStarDT,"Lot81,JalanSultanahBahiyah,MukimAlorMalai.05350KotaSetarKedah",04-7372976,P.009 Alor Setar,N.12 Suka Menanti,6.1431924,100.3654614
McDonald'sCameronHighlandDT,"LotPt3275,MukimTanahRata,39000,DaerahCameronHighlands,PahangDarulMakmur.",05-4914107,P.078 Cameron Highlands,N.01 Tanah Rata,4.496029,101.390626
McDonald'sPSSBukitBeruntungDT,"Lot10496,No.1JalanKamunting,MukimSerendah,48300DaerahHuluSelangor,Selangor",03-60218371,P.094 Hulu Selangor,N.07 Batang Kali,3.41297,101.557582
McDonald'sShellTasikAmpangDT,"LotPT2536,LebuhRayaLingkaranTengah2,MukimAmpang,55000KualaLumpur",,P.119 Titiwangsa,,3.151919749,101.745321
McDonald'sKubangKerianDT,"Lot523Seksyen54,MukimKenali,DaerahKubangKerian,JajahanKotaBharu,KelantanDarulNaim",,P.024 Kubang Kerian,N.19 Demit,6.093778,102.27775
McDonald'sKajangImpianDT,"LotPT.70550,JalanKajangImpian1/2,TamanKajangImpian,MukimBandarBaruBangi,43650DaerahHuluLangat,SelangorDarulEhsan",03-89221937,P.102 Bangi,N.25 Kajang,2.975016,101.77144
McDonald'sShellLukutDT,"PT4849,JalanBesarLukut,Batu4,BandarBaruLukut,71010PortDickson,NegeriSembilan",,P.132 Port Dickson,N.30 Lukut,2.565154633,101.820597
McDonald'sPSSBangiNBLaybyDT,"LotPT2(HSD41974)BerhadapanLebuhraya,UtaraSelatanKL-(KM297.9-298.1ArahUtara)BandarSungaiMerab,MukimDengkil,Sepang,SelangorDarulEhsan",03-89229640,P.113 Sepang,N.55 Dengkil,2.945037,101.751844
McDonald'sShellDengkilBypassDT,"Lot101777,KM48.7,JalanPintasanDengkil-Putrajaya(FT29)ArahUtara,43800Dengkil,Selangor",,P.113 Sepang,N.55 Dengkil,2.869292,101.685648
McDonald'sCalteSungaiDuaDT,"CalteSungaiDuaNorthBound,PMT10359,KM132.5,LebuhrayaUtaraSelatan,13600PermatangPauh,PulauPinang",,P.044 Permatang Pauh,N.11 Permatang Pasir,5.423207,100.4128
McDonald'sShellBandarBotanikDT,"LotPT118176JalanLangat,BandarBotanik,41200Klang,Selangor",,P.111 Kota Raja,N.49 Sungai Kandis,2.99088,101.4477997
McDonald'sShellBukitBintangDT,"225,BukitBintangSt,Imbi,55100KualaLumpur,FederalTerritoryOfKualaLumpur",,P.120 Bukit Bintang,,3.14752,101.7178428
McDonald'sBandarBukitPuchongDT,"2,JalanBP7/1Sierra7,BandarBukitPuchong,47120Puchong,Selangor",,P.103 Puchong,N.29 Seri Serdang,2.98357,101.6171598
McDonald'sGentingGrand,"LotNo.G/LG1A.00,LowerGroundFloor,GentingGrandHotel,GentingHighlandsResort,69000GentingHighland,Pahang",,P.089 Bentong,N.34 Ketari,3.43353,101.7925899
McDonald'sLangkawiKuahDT,"Lot107,MukimKuah,07000DaerahLangkawiKedah",,P.004 Langkawi,N.02 Kuah,6.32844,99.834406
McDonald'sAmvertonDT,"Lot85631,JalanU17/16,BukitAmvertonSeksyenU17,40160ShahAlam,Selangor",,P.107 Sungai Buloh,N.38 Paya Jaras,3.216468,101.5293271
McDonald'sICONICSimpangAmpatDT,"2,JalanIconicPoint,IconicPoint,14100SimpangAmpat,PulauPinang",,P.046 Batu Kawan,N.18 Bukit Tambun,5.283685,100.476241
McDonald'sShellJalanKuchingDT,"Lot58043,JalanKuching,MukimBatu68100,WlayahPersekutuanKualaLumpur",,P.115 Batu,,3.223098,101.6721257
McDonald'sPenangInternationalAirport,"LotPC05,DepatureLevel,PenangInternationalAirport,11900BayanLepas,PulauPinang",,P.052 Bayan Baru,N.37 Batu Maung,5.293007,100.265933
McDonald'sTroika,"Lot1-1,1-2ResidensiTroika,JalanMahmood,15200KotaBharu,Kelantan",,P.021 Kota Bharu,N.09 Kota Lama,6.120501,102.240525
McDonald'sLabuan,"IR9/C12,TropicalUmbrellaLight,IndustrialEstate,JalanArsat,87014,WPLabuan,Malaysia",,P.166 Labuan,,5.296338,115.238963
McDonald'sShellWangsaMajuDT,"Lot28332,Jalan8/27A,PusatBandarWangsaMaju,53300KualaLumpur",,P.118 Setiawangsa,,3.19744,101.744674130684
McDonald'sJalanTunRazakDT,"No9,JalanFletcher,50400KualaLumpur",,P.118 Setiawangsa,,3.1721,101.7086
McDonald'sCalteKrubongDT,"SebahagianLot23344,JalanPantaiBelimbing,75260Krubong,Melaka",,P.136 Tangga Batu,N.13 Paya Rumput,2.29776,102.24862
McDonald'sShellSerembanJayaDT,"JalanSerembanJaya,PT2443,Pekan,71450Seremban,NegeriSembilan",,P.130 Rasah,N.24 Seremban Jaya,2.675337,101.975288
McDonald'sIKEABatuKawanDT,"PlotNo.1,HSD47588,PT5910,Mukim13,SeberangPeraiSelatan,14100BatuKawan,PulauPinang",,P.046 Batu Kawan,N.18 Bukit Tambun,5.234703,100.442596
McDonald'sPetronasTanahMerahDT,"PSSMaka,Lot9844&9845,MukimofMaka,17500JajahanTanahMerah,Kelantan.",,P.027 Tanah Merah,N.26 Bukit Panau,5.821232,102.149476
McDonald'sEdusphereDT,"AtelierCentre,JalanAtelier1,Edusphere,Cyber11,63000Cyberjaya,Selangor.",,P.113 Sepang,N.55 Dengkil,2.93385,101.63631
McDonald'sPetronNorthKiaraDT,"452,JalanSegambut,KampungSegambutTengah,1200KualaLumpur",,P.117 Segambut,,3.18298,101.65492
McDonald'sTanjungTokongDT,"No.6,JalanTanjungTokong,10250GeorgeTownPulauPinang",,P.048 Bukit Bendera,N.25 Pulau Tikus,5.446954,100.3055678
McDonald'sPantaiSentralParkDT,"No.2,JalanPantaiSentral1,PantaiSentral,59200,WilayahPersekutuanKualaLumpur.",,P.121 Lembah Pantai,,3.101972,101.666333
McDonald'sTanjongMalimDT,"Lot232,JalanTanjongMalim,ProtonCity,MukimHuluBernamProtonCity,MukimHuluBernam,35900TimorDaerahMuallim,Perak.",,P.077 Tanjong Malim,N.59 Behrang,3.69252,101.52008
